PartitionKey,RowKey,ExternalId,ExternalId@type,ConnectorId,ConnectorId@type,TwinId,TwinId@type,NuvoloId,NuvoloId@type,Code,Code@type,GeometryViewerId,GeometryViewerId@type,Unit,Unit@type
devtest,1beb1551-bccc-4791-978d-c93f88714db8-1beb1551-bccc-4791-978d-c93f88714db8-HeartBeat,1beb1551-bccc-4791-978d-c93f88714db8-HeartBeat,String,1beb1551-bccc-4791-978d-c93f88714db8,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,1beb1551-bccc-4791-978d-c93f88714db8-b53e61c7.7-detectedPersonsZone[6],b53e61c7.7-detectedPersonsZone[6],String,1beb1551-bccc-4791-978d-c93f88714db8,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402AO0,70402AO0,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402AV202,70402AV202,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402AV203,70402AV203,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402AV204,70402AV204,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402AV207,70402AV207,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402AV217,70402AV217,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-70402BO0,70402BO0,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
devtest,4a94625b-f8b6-4c35-bf3f-d62cd68c7224-7050AV224,7050AV224,String,4a94625b-f8b6-4c35-bf3f-d62cd68c7224,Guid,SPC12f452gs7232353,String,LOC12345,String,Room 23,String,d4a5a3fe-edb8-4366-862e-2cf7fc6d5def,String,pp1,String
